planta,fecha,hora_inicio,turno,linea,maquina,duracion_min,codigo_falla,categoria_falla,comentario_operario
Envases del Pacífico S.A.S.,2026-05-04,06:06,mañana,L2,INY-03,3.6,MEC-07,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-04,09:36,mañana,L3,EMP-07,3.2,,,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-04,12:08,mañana,L3,EMP-06,29.3,OPE-07,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-04,13:09,mañana,L1,SOP-01,108.6,OPE-02,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-04,16:24,tarde,L1,SOP-02,17.8,MPR-04,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-04,21:21,tarde,L1,SOP-01,21.0,MEC-06,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-05,06:17,mañana,L1,SOP-02,2.7,CAL-04,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-05,17:14,tarde,L1,SOP-01,2.6,ELE-01,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-05,18:33,tarde,L3,EMP-07,32.6,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-05,19:25,tarde,L3,EMP-06,4.9,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-05,19:39,tarde,L1,SOP-01,2.6,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-05,20:25,tarde,L3,EMP-07,10.7,,,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-05,20:57,tarde,L1,SOP-01,28.0,MEC-01,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-06,10:32,mañana,L3,EMP-06,76.9,ELE-02,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-07,03:22,noche,L2,INY-05,42.8,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-05-07,05:32,noche,L1,SOP-01,48.8,MEC-02,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-07,08:45,mañana,L3,EMP-07,8.5,MEC-05,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-07,08:52,mañana,L2,INY-03,56.5,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-07,09:42,mañana,L3,EMP-06,27.1,CAL-02,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-05-07,12:35,mañana,L3,EMP-07,4.2,,,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-05-07,17:06,tarde,L3,EMP-06,7.7,OPE-01,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-07,19:05,tarde,L1,SOP-01,4.5,MEC-08,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-07,22:03,noche,L3,EMP-07,4.1,ELE-06,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-05-08,00:52,noche,L3,EMP-07,15.5,ELE-04,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-08,05:17,noche,L3,EMP-06,2.9,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-08,06:19,mañana,L3,EMP-06,62.2,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-08,10:36,mañana,L3,EMP-06,5.7,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-05-08,12:50,mañana,L1,SOP-01,1.9,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-08,15:13,tarde,L2,INY-03,15.7,ELE-06,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-08,15:48,tarde,L1,SOP-01,3.0,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-08,23:14,noche,L3,EMP-07,3.7,MEC-02,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-09,01:50,noche,L3,EMP-06,22.4,ELE-02,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-09,02:00,noche,L3,EMP-07,33.8,,,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-09,05:06,noche,L3,EMP-06,2.9,MEC-06,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-09,11:10,mañana,L1,SOP-02,26.2,MEC-05,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-09,22:44,noche,L2,INY-04,2.9,ELE-03,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-10,01:27,noche,L3,EMP-07,105.6,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-10,08:08,mañana,L3,EMP-07,3.1,,,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-10,09:02,mañana,L1,SOP-02,5.5,MEC-04,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-10,11:53,mañana,L1,SOP-02,1.2,OPE-01,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-10,22:15,noche,L2,INY-05,3.2,,,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-05-11,00:43,noche,L3,EMP-07,4.3,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-11,01:10,noche,L2,INY-04,17.1,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-11,01:29,noche,L2,INY-04,29.7,OPE-01,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-11,04:19,noche,L2,INY-05,2.2,MPR-01,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-05-11,05:26,noche,L2,INY-05,34.9,OPE-07,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-11,10:06,mañana,L1,SOP-01,42.0,OPE-04,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-11,10:07,mañana,L2,INY-05,1.9,OPE-03,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-11,11:37,mañana,L3,EMP-07,2.4,CAL-05,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-11,15:38,tarde,L1,SOP-01,3.0,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-11,18:01,tarde,L3,EMP-06,22.7,ELE-04,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-11,18:36,tarde,L1,SOP-01,2.9,MEC-05,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-12,03:14,noche,L2,INY-05,31.7,ELE-08,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-12,04:13,noche,L2,INY-05,12.8,CAL-04,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-12,05:28,noche,L2,INY-04,16.2,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-05-12,07:59,mañana,L2,INY-03,24.6,OPE-03,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-12,10:27,mañana,L2,INY-04,1.1,MEC-06,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-12,13:32,mañana,L2,INY-03,10.5,MPR-08,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-05-12,15:36,tarde,L3,EMP-07,19.6,,,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-12,18:11,tarde,L3,EMP-06,26.0,ELE-07,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-13,05:08,noche,L2,INY-05,136.3,MEC-06,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-13,06:35,mañana,L3,EMP-07,68.4,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-05-13,15:08,tarde,L3,EMP-07,1.3,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-13,17:25,tarde,L3,EMP-07,22.7,OPE-06,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-14,00:20,noche,L2,INY-03,35.0,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-14,02:24,noche,L2,INY-05,14.4,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-14,04:09,noche,L1,SOP-01,20.6,,,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-14,05:06,noche,L1,SOP-01,3.6,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-05-14,14:33,tarde,L3,EMP-06,9.2,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-14,15:02,tarde,L2,INY-03,3.3,MEC-07,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-14,15:15,tarde,L3,EMP-06,1.1,ELE-04,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-14,15:34,tarde,L3,EMP-07,30.3,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-05-14,17:42,tarde,L2,INY-05,46.2,ELE-02,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-14,22:43,noche,L3,EMP-06,6.6,,,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-15,02:21,noche,L3,EMP-07,3.7,ELE-06,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-15,03:02,noche,L1,SOP-02,49.5,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-05-15,04:52,noche,L1,SOP-02,42.1,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-15,06:03,mañana,L1,SOP-02,1.5,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-05-15,14:15,tarde,L2,INY-03,33.8,MEC-05,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-15,15:10,tarde,L1,SOP-01,3.8,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-15,16:24,tarde,L3,EMP-07,28.8,CAL-03,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-05-15,19:42,tarde,L1,SOP-01,18.2,,,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-15,19:55,tarde,L1,SOP-02,1.8,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-15,22:25,noche,L1,SOP-01,32.6,MEC-05,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-15,22:31,noche,L3,EMP-07,40.7,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-15,22:33,noche,L3,EMP-06,48.7,OPE-04,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-15,22:47,noche,L2,INY-05,47.1,MEC-01,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-15,23:14,noche,L3,EMP-07,20.5,,,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-15,23:59,noche,L2,INY-03,5.5,ELE-08,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-16,00:09,noche,L1,SOP-02,2.5,ELE-08,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-16,00:53,noche,L1,SOP-01,20.2,MPR-06,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-16,01:35,noche,L2,INY-05,2.5,ELE-04,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-16,02:15,noche,L3,EMP-07,24.4,MPR-05,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-05-16,02:31,noche,L2,INY-05,9.9,MEC-06,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-16,02:56,noche,L1,SOP-02,4.3,OPE-04,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-16,03:05,noche,L2,INY-05,4.1,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-16,03:43,noche,L1,SOP-01,22.3,MEC-02,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-16,03:55,noche,L3,EMP-07,3.4,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-16,04:27,noche,L2,INY-03,4.8,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-05-16,05:00,noche,L1,SOP-01,23.1,MEC-02,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-16,05:09,noche,L2,INY-03,29.5,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-16,05:37,noche,L3,EMP-06,18.4,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-16,08:15,mañana,L1,SOP-01,4.8,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-16,10:42,mañana,L3,EMP-06,26.6,,,falla del variador
Envases del Pacífico S.A.S.,2026-05-17,07:56,mañana,L3,EMP-07,41.5,MEC-07,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-17,08:45,mañana,L2,INY-03,19.3,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-17,08:51,mañana,L1,SOP-02,34.3,MEC-02,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-17,09:30,mañana,L2,INY-05,9.1,,,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-17,11:01,mañana,L3,EMP-06,43.9,OPE-01,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-17,13:59,mañana,L3,EMP-06,36.7,,,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-17,14:39,tarde,L2,INY-03,4.4,OPE-07,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-17,18:06,tarde,L2,INY-04,37.7,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-17,19:43,tarde,L2,INY-03,54.8,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-17,20:15,tarde,L1,SOP-01,4.3,ELE-07,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-05-17,21:32,tarde,L2,INY-04,16.3,ELE-01,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-18,06:15,mañana,L3,EMP-06,5.0,MEC-02,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-18,06:47,mañana,L3,EMP-06,12.0,CAL-06,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-18,08:08,mañana,L3,EMP-06,13.5,OPE-07,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-18,09:14,mañana,L1,SOP-01,3.2,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-18,17:28,tarde,L3,EMP-06,1.9,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-05-18,20:01,tarde,L3,EMP-06,12.3,MPR-08,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-05-18,22:18,noche,L1,SOP-02,4.8,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-19,03:04,noche,L1,SOP-01,9.0,ELE-08,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-19,04:44,noche,L1,SOP-01,26.6,MEC-02,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-19,06:24,mañana,L3,EMP-06,31.6,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-19,17:13,tarde,L1,SOP-01,11.0,MPR-07,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-05-20,09:39,mañana,L3,EMP-07,12.0,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-20,14:34,tarde,L1,SOP-01,2.9,MEC-08,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-20,15:55,tarde,L1,SOP-02,27.9,CAL-05,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-20,16:26,tarde,L1,SOP-01,26.3,OPE-05,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-20,17:31,tarde,L3,EMP-06,2.2,,,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-20,19:36,tarde,L2,INY-04,4.8,ELE-07,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-05-21,01:51,noche,L2,INY-04,39.4,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-21,02:00,noche,L2,INY-04,17.2,MPR-02,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-05-21,03:26,noche,L1,SOP-01,19.6,CAL-04,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-21,06:19,mañana,L2,INY-03,3.9,ELE-02,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-05-21,09:02,mañana,L2,INY-05,2.5,MEC-06,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-21,10:48,mañana,L2,INY-03,12.0,CAL-01,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-21,12:37,mañana,L2,INY-05,8.6,OPE-03,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-21,16:40,tarde,L2,INY-05,4.6,ELE-07,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-21,16:57,tarde,L1,SOP-01,126.7,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-05-21,17:35,tarde,L2,INY-03,1.3,OPE-02,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-21,18:20,tarde,L2,INY-05,2.3,OPE-06,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-21,19:03,tarde,L1,SOP-02,34.5,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-05-21,19:52,tarde,L3,EMP-07,3.7,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-21,21:02,tarde,L2,INY-03,14.6,ELE-03,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-21,21:43,tarde,L1,SOP-02,46.0,MEC-01,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-21,23:36,noche,L1,SOP-01,19.5,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-22,00:30,noche,L3,EMP-07,20.0,OPE-06,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-22,03:45,noche,L1,SOP-01,3.2,MPR-04,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-22,08:24,mañana,L2,INY-03,5.0,MEC-03,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-22,08:45,mañana,L3,EMP-06,7.1,ELE-07,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-22,10:29,mañana,L2,INY-04,32.7,CAL-07,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-22,12:36,mañana,L1,SOP-01,46.1,MEC-08,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-22,15:29,tarde,L1,SOP-01,1.3,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-05-22,22:17,noche,L2,INY-03,27.0,MEC-07,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-22,22:23,noche,L3,EMP-06,3.2,OPE-01,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-23,00:14,noche,L3,EMP-07,38.8,MPR-03,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-23,00:34,noche,L2,INY-04,3.7,MEC-08,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-23,01:17,noche,L3,EMP-07,4.7,ELE-02,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-23,01:18,noche,L2,INY-05,14.1,MPR-08,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-23,03:09,noche,L2,INY-04,18.2,MPR-01,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-05-23,03:19,noche,L3,EMP-06,1.7,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-23,04:21,noche,L3,EMP-07,1.4,CAL-04,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-23,04:23,noche,L3,EMP-06,18.6,OPE-05,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-23,08:02,mañana,L1,SOP-01,41.3,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-23,09:36,mañana,L3,EMP-06,5.0,MPR-03,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-23,10:02,mañana,L1,SOP-01,14.2,MPR-04,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-23,11:04,mañana,L3,EMP-06,29.1,CAL-03,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-23,12:52,mañana,L3,EMP-06,3.5,ELE-01,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-23,13:58,mañana,L3,EMP-07,91.2,,,falla del variador
Envases del Pacífico S.A.S.,2026-05-23,20:23,tarde,L3,EMP-07,17.5,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-05-24,00:12,noche,L2,INY-03,32.3,OPE-05,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-24,03:11,noche,L2,INY-03,73.8,MEC-08,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-05-24,03:37,noche,L2,INY-03,17.8,,,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-05-24,08:32,mañana,L1,SOP-01,9.9,MEC-05,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-24,10:49,mañana,L2,INY-03,22.3,OPE-08,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-05-24,12:36,mañana,L1,SOP-01,24.6,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-24,16:11,tarde,L3,EMP-07,2.1,MEC-03,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-05-24,18:58,tarde,L2,INY-05,1.2,CAL-02,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-24,21:23,tarde,L3,EMP-07,10.3,OPE-07,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-25,00:41,noche,L2,INY-05,88.8,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-05-25,02:40,noche,L1,SOP-01,3.2,CAL-02,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-25,02:47,noche,L1,SOP-02,1.4,MPR-02,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-05-25,05:54,noche,L1,SOP-02,10.4,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-05-25,06:52,mañana,L3,EMP-06,21.4,CAL-05,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-05-25,15:05,tarde,L2,INY-04,10.4,OPE-05,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-25,16:50,tarde,L1,SOP-02,3.3,OPE-07,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-25,17:07,tarde,L1,SOP-01,4.2,ELE-08,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-05-25,22:34,noche,L1,SOP-02,2.5,CAL-06,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-25,23:06,noche,L1,SOP-01,47.1,OPE-01,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-05-26,01:32,noche,L2,INY-03,21.9,MPR-01,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-05-26,02:40,noche,L1,SOP-02,54.6,CAL-03,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-05-26,05:59,noche,L2,INY-05,2.9,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-05-26,14:38,tarde,L2,INY-05,45.8,MPR-06,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-05-26,16:23,tarde,L2,INY-04,44.2,OPE-04,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-05-26,16:35,tarde,L2,INY-05,26.5,CAL-06,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-05-27,10:16,mañana,L1,SOP-02,84.0,MPR-05,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-27,13:37,mañana,L2,INY-05,33.6,ELE-03,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-05-27,13:57,mañana,L3,EMP-07,4.0,MEC-03,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-05-27,14:02,tarde,L2,INY-05,18.2,MEC-02,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-27,14:49,tarde,L2,INY-03,2.2,MEC-05,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-27,15:36,tarde,L3,EMP-06,1.9,MPR-03,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-05-27,16:11,tarde,L1,SOP-01,2.3,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-27,16:16,tarde,L1,SOP-01,31.6,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-05-27,22:21,noche,L1,SOP-01,114.4,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-05-28,01:46,noche,L2,INY-05,53.7,MPR-03,Materia prima,el lote venía con partículas negras
